﻿Block,UpChunk,1
﻿Block,UpChunk,1
Block,UpChunk,12
Block,UpChunk,73
Block,UpChunk,84
Block,BlackFloor,2,
Block,BlackFloor,3,
Block,BlackFloor,10,
Block,BlackFloor,11,
Block,BlackFloor,13,
Block,BlackFloor,14,
Block,BlackFloor,17,
Block,BlackFloor,20,
Block,BlackFloor,23,
Block,BlackFloor,24,
Block,BlackFloor,25,
Block,BlackFloor,26,
Block,BlackFloor,28,
Block,BlackFloor,29,
Block,BlackFloor,32,
Block,BlackFloor,33,
Block,BlackFloor,35,
Block,BlackFloor,36,
Block,BlackFloor,37,
Block,BlackFloor,38,
Block,BlackFloor,40,
Block,BlackFloor,41,
Block,BlackFloor,44,
Block,BlackFloor,45,
Block,BlackFloor,47,
Block,BlackFloor,48,
Block,BlackFloor,49,
Block,BlackFloor,50,
Block,BlackFloor,54,
Block,BlackFloor,55,
Block,BlackFloor,59,
Block,BlackFloor,60,
Block,BlackFloor,61,
Block,BlackFloor,62,
Block,BlackFloor,63,
Block,BlackFloor,64,
Block,BlackFloor,69,
Block,BlackFloor,70,
Block,BlackFloor,71,
Block,BlackFloor,72,
Block,BlackFloor,74,
Block,BlackFloor,75,
Block,BlackFloor,76,
Block,BlackFloor,81,
Block,BlackFloor,82,
Block,BlackFloor,83,
Enemy,Ganon,18,
Door,North,0,,
Door,South,4,,
Door,East,0,,
Door,West,0,,
